hostname,operator,country,city_or_scope,type,counted,alias_of,access,nts_documented,nts_measured,nts_evidence,stratum_measured,ipv6_measured,reachable,nts_from,reachable_from,leap_policy,verification,status_note
ts11.univie.ac.at,University of Vienna,Austria,distributed,anycast,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,NTP/NTS; stratum 2
ntp.belnet.be,Belnet,Belgium,Belgium,managed service alias,yes,,public,no,no,tls-error — TLS échoue,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,Public research-network service
time.belnet.be,Belnet,Belgium,Belgium,alias,no,ntp.belnet.be,public,no,no,tls-error — TLS échoue,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp.belnet.be (193.190.198.10) — MÊME machine. Exclu des décomptes.
ntp-public-1.oma.be,Royal Observatory of Belgium,Belgium,Brussels,alias,no,ntp1.oma.be,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp1.oma.be (193.190.230.105) — MÊME machine. Exclu des décomptes.
ntp-public-2.oma.be,Royal Observatory of Belgium,Belgium,Brussels,alias,no,ntp2.oma.be,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp2.oma.be (193.190.230.106) — MÊME machine. Exclu des décomptes.
ntp-p1.obspm.fr,Observatoire de Paris / LNE-SYRTE,France,Paris,server,yes,,public-notify,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S1 2026-07-12; UTC(OP)
saturne.obs-besancon.fr,Observatoire de Besancon / LNE-LTFB,France,Besancon,server,yes,,public-notify,no,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,Observed active S1 2026-07-12
ntp.obspm.fr,Observatoire de Paris / LNE-SYRTE,France,Paris,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
ntp.cines.fr,CINES,France,Montpellier,server,yes,,restricted,no,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,Responded REFUSED 2026-07-12
ntp1.jussieu.fr,Sorbonne Universite,France,Paris,server,yes,,public-notify,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
ntp.genoscope.cns.fr,Genoscope,France,Evry,server,yes,,restricted,no,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,Responded REFUSED 2026-07-12
time.kuro-home.net,Independent,France,Besancon,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S1 2026-07-12
ntp.accelance.net,Accelance,France,Lyon,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
ntp.viarouge.net,Hubert Viarouge,France,Nancy,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,no,yes,6/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
ntp.univ-rennes2.fr,Universite Rennes 2,France,Rennes,managed service alias,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
