hostname,operator,country,city_or_scope,type,counted,access,nts_documented,nts_measured,nts_evidence,stratum_measured,ipv6_measured,reachable,nts_from,reachable_from,leap_policy,verification,status_note
lul1.nts.netnod.se,Netnod,Sweden,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
lul2.nts.netnod.se,Netnod,Sweden,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
mmo1.nts.netnod.se,Netnod,Sweden,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
mmo2.nts.netnod.se,Netnod,Sweden,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
sth2.nts.netnod.se,Netnod,Sweden,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
svl1.nts.netnod.se,Netnod,Sweden,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
svl2.nts.netnod.se,Netnod,Sweden,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
mirror.mdapi.ch,Martino Dell'Ambrogio,Switzerland,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp.3eck.net,Adrian Zaugg,Switzerland,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp01.maillink.ch,Ueli Heuer,Switzerland,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp02.maillink.ch,Ueli Heuer,Switzerland,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp03.maillink.ch,Ueli Heuer,Switzerland,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
solarium.stellata.ch,stellata.ch,Switzerland,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,no,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
time.signorini.ch,Attilio Signorini,Switzerland,,server,yes,public,yes,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp2.glypnod.com,Hal Murray,United Kingdom,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp1.dmz.terryburton.co.uk,Terry Burton,United Kingdom,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp2.dmz.terryburton.co.uk,Terry Burton,United Kingdom,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp0.cam.ac.uk,"University of Cambridge, University Information Services (UIS)",United Kingdom,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp1.cam.ac.uk,"University of Cambridge, University Information Services (UIS)",United Kingdom,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp2.cam.ac.uk,"University of Cambridge, Department of Engineering",United Kingdom,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,no,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp3.cam.ac.uk,"University of Cambridge, University Information Services (UIS)",United Kingdom,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp.cesnet.cz,CESNET (NREN),Czech Republic,,academic,yes,public,unknown,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,
tik.cesnet.cz,CESNET (NREN),Czech Republic,,alias,no,public,unknown,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,Alias DNS de ntp.cesnet.cz (195.113.144.201) — MÊME machine. Exclu des décomptes.
ntp.switch.ch,SWITCH (NREN),Switzerland,,academic,yes,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),1,yes,yes,0/6,6/6,standard,measured-2026-07-12,"NTS INUTILISABLE SOUS CE NOM : le serveur NTS-KE écoute et négocie l'ALPN, mais son certificat Let's Encrypt est émis pour swice-nts1.switch.ch. Un client conforme (chrony, ntpsec) échoue la validation du nom — la RFC 8915 l'impose. UTILISER swice-nts1.switch.ch À LA PLACE : même service, certificat valide, stratum 1. Erreur d'exploitation, pas absence de NTS."
